ábaco,abacus
abren,they open
acaso,perhaps
acata,you comply with
acato,I comply with
acera,sidewalk
acero,steel
acoja,you receive
acojo,I receive
acres,acres
actas,minutes
actúa,you act
actúo,I act
acuñe,you mint
adobe,adobe
aduce,you adduce
aérea,aerial
ágape,banquet
ágata,agate
ágora,agora
agote,you exhaust
aguda,sharp
aires,winds
ajuar,furnishings
alces,moose
alcor,hill
alias,alias
aloja,you accommodate
altos,tall
amaga,you show signs of
amaño,ruse
ámbar,amber
amena,enjoyable
ánade,duck
ananá,pineapple
anexo,annex
ángel,angel
ánima,soul
añoso,old
apela,you appeal
ápice,tip
apnea,apnea
apoca,you reduce
apodo,nickname
apuro,predicament
arana,trick
araña,spider
arces,maples
arcón,large chest
arcos,arches
ardor,burning
arduo,arduous
arena,sand
arepa,arepa
arpas,harps
arras,coins
arreo,drove
asilo,refuge
asomo,trace
astil,handle
ataco,I attack
atado,tied
atajo,shortcut
ático,attic apartment
aupar,help up
áureo,golden
aviar,avian
azota,you whip
azote,whip
babel,babel
bacán,awesome
bajel,ship
balón,ball
banal,banal
baños,"bathrooms, baths"
barón,baron
batas,bathrobes
batel,skiff
bates,bats
bayas,berries
beato,blessed
bebes,"you drink, babies"
bedel,porter
besos,kisses
betún,shoe polish
bidón,drum
birla,bowling pin
bodas,weddings
bonos,vouchers
boyas,buoys
bozal,muzzle
brida,bridle
broca,bit
budín,pudding
burla,taunt
busca,search
cabal,upright
cafés,coffees
caída,fall
cajas,boxes
calar,soak
calma,calm
canal,channel
canas,gray hairs
canon,canon
cansa,you tire
cariz,look
casal,country house
casar,marry
casco,helmet
casta,lineage
catan,they taste
catar,taste
catre,cot
cauto,cautious
cejas,eyebrows
celar,watch over
cerda,bristle
cerdo,pig
cesto,basket
chapa,sheet
chile,chili
china,pebble
cieno,mud
cirro,cirrus
clase,class
clima,climate
cloro,chlorine
colas,tails
colmo,height
copar,make a clean sweep
copas,glasses
copos,flakes
coral,choral
Corán,Koran
Corea,Korea
corre,you run
corza,roe deer
craso,gross
creer,believe
crema,cream
criba,sieve
cromo,chrome
cruje,you creak
cubil,den
cuida,you take care of
cunas,cradles
cupón,coupon
dalia,dahlia
daños,damages
datar,date
datos,data
deben,they owe
debes,you owe
densa,dense
diosa,goddess
docto,scholar
doler,hurt
domar,tame
donar,donate
dotes,talent
draga,dredge
drena,you drain
echar,throw
edita,you publish
educa,you bring up
ejote,green bean
eleva,you lift
elige,you choose
elote,corncob
eluda,you elude
email,email
emana,you emanate
emite,you emit
enano,little person
enema,enema
enojo,anger
entra,you enter
entre,between
entro,I enter
envés,back
envío,delivery
equis,X
erguí,I raised
erizo,hedgehog
eroga,you distribute
errar,miss
error,mistake
esmog,smog
esnob,snob
espía,spy
estar,be
estoy,I am
estro,inspiration
etapa,stage
etnia,ethnic group
evade,you evade
evita,you avoid
evoca,you evoke
exige,you demand
exime,you exempt
extra,extra
fácil,easy
faena,task
fajar,beat up
falaz,"false, untrue"
falda,skirt
fallo,mistake
falso,"false, untrue"
fango,mud
fardo,bale
farol,lantern
faros,lighthouses
farsa,farce
fases,phases
fasto,pomp
fatal,terrible
fauna,fauna
favor,favor
fecha,date
feliz,happy
feria,fair
feroz,fierce
fibra,fiber
ficha,index card
